Hands,Bets,Rank,Enumeration,Wins
JJJJJ,86,7,1000,83936
AAAAQ,400,6,999,390000
AAAJA,841,6,998,841000
AA8AA,556,6,997,540988
AA2AA,413,6,996,401436
A5555,119,6,995,115430
A3333,736,6,994,712448
KAAAA,92,6,993,88688
KKKAK,620,6,992,596440
KKKTK,673,6,991,646753
KKK7K,402,6,990,385920
KK8KK,514,6,989,492926
KKJKK,375,6,988,374625
KQQQQ,793,6,987,759694
K7777,543,6,986,519108
K6666,174,6,985,166170
K4KKK,638,6,984,608652
QQAQQ,120,6,983,114360
QQ9QQ,501,6,982,476952
QQ7QQ,740,6,981,703740
QQJQQ,503,6,980,500988
Q8888,496,6,979,470208
TAAAA,686,6,978,648270
TQQQQ,724,6,977,682732
TTATT,908,6,976,855336
TTTT5,441,6,975,414540
TTTT4,489,6,974,459171
TTTT2,490,6,973,459620
TTTJT,122,6,972,121390
TT7TT,282,6,971,264234
TT3TT,546,6,970,511056
T8888,713,6,969,666655
T3333,62,6,968,57908
9T999,642,6,967,595776
99K99,269,6,966,249363
9999A,20,6,965,18520
99993,223,6,964,206275
99979,394,6,963,364056
99599,295,6,962,272285
99J99,444,6,961,441336
89888,822,6,960,753774
88A88,210,6,959,192360
88887,777,6,958,710955
88886,696,6,957,636144
88884,212,6,956,193556
88J88,194,6,955,192448
82888,888,6,954,807192
79777,861,6,953,780066
77T77,464,6,952,419920
77774,668,6,951,603872
77772,427,6,950,385581
77757,73,6,949,65846
777J7,669,6,948,662310
75555,639,6,947,573822
666A6,190,6,946,169860
66668,901,6,945,804593
66667,887,6,944,791204
66663,616,6,943,548856
66656,123,6,942,109470
66J66,33,6,941,32637
65555,585,6,940,519480
5KKKK,56,6,939,49616
55Q55,866,6,938,765544
55585,754,6,937,664274
55559,220,6,936,193600
555J5,418,6,935,412984
4AAAA,952,6,934,834904
444K4,432,6,933,378000
44474,539,6,932,471086
44445,919,6,931,802287
44434,37,6,930,32264
42444,788,6,929,684772
37333,745,6,928,645170
33833,775,6,927,669600
33393,178,6,926,153614
33335,962,6,925,829244
33334,440,6,924,378840
33233,373,6,923,320407
2222T,751,6,922,640603
22229,317,6,921,270084
22J22,121,6,920,119064
J4444,534,6,919,523320
J3333,990,6,918,969210
JJ8JJ,330,6,917,274890
AAAQQ,933,5,916,776256
AAA66,643,5,915,534333
AAQQQ,436,5,914,361880
AA77A,649,5,913,538021
AKKAA,737,5,912,610236
ATTTA,851,5,911,703777
A666A,759,5,910,626934
A2AA2,131,5,909,108075
KKAAK,900,5,908,739800
KKK22,554,5,907,454834
KK99K,930,5,906,762600
KK6K6,170,5,905,139230
KK4K4,229,5,904,187322
KK3K3,513,5,903,419121
KTTKT,372,5,902,303552
K55KK,499,5,901,406186
K2K22,125,5,900,101625
